原单词,词性,中文释义
lock,n.,锁
lock,vt.,"锁,锁上"
lonely,a.,"孤独的, 寂寞的"
long,a.,"长的, 远"
long,ad.,长久
look,n.,"看,瞧"
look,v.,"看,观看"
loose,a.,松散的; 宽松的
lorry,n.,"(英)运货汽车,卡车"
loss,n.,丧失; 损耗
lot,n.,"许多,好些"
loud,a.,大声的
lounge,n.,休息厅;休息室
lovely,a.,"美好的,可爱的"
luck,n.,"运气,好运"
lucky,a.,"运气好,侥幸"
luggage,n.,(总称)行李
lunch,n.,"午餐,午饭"
lung,n.,肺; 肺脏
machine,n.,机器
mad,a.,发疯的;生气的
magazine,n.,杂志
magic,a.,有魔力的
maid,n.,女仆; 侍女
mail,n.,"邮政,邮递"
mail,v.,(美)邮寄
mailbox,n.,邮筒; 邮箱
main,a.,主要的
mainland,n.,大陆
major,a.,较大的; 主要的
majority,n.,大多数 
make 1,vt.,"制造,做;使"
make 2,n.,样式;制造
male,a.,男(性)的;雄的
man,n.,"成年男人;人,人类"
manage,v.,管理;设法对付
manager,n.,经理
mankind,n.,人类;(总称)人
manner,n.,"方式,态度,举止"
map,n.,地图
maple,n.,枫树
marathon,n.,马拉松
marble,n.,大理石;玻璃弹子
march,n.,"游行,行进"
march,n.,3月
mark,n.,标记
mark,vt.,"标明,作记号于"
market,n.,"市场,集市"
marriage,n.,"结婚,婚姻"
marry,v.,"成婚,结婚"
marxism,n.,马克思主义
mask,n.,口罩;面罩(具);遮盖物
mask,v.,戴面具;掩饰;伪装
mass,n.,众多; 大量;(复)群众
master,vt.,"精通,掌握"
mat,n.,垫子
match 1,vt.,"使相配,使成对"
match 2,n.,"比赛,竞赛"
match 3,n.,火柴
material,n.,"材料,原料"
matter,n.,"要紧事,要紧, 事情;问题"
matter,vi.,"要紧,有重大关系"
mature,a.,"成熟的,到期的,考虑周到的"
may,n.,5月
maybe,ad.,"可能,大概,也许"
me,pron.,我(宾格)
meal,n.,一餐(饭) 
mean,vt.,"意思是,意指"
meaning,n.,"意思,含意"
means,n.,"方法,手段;财产"
meanwhile,ad.,同时
measure,v.,量
meat,n.,(猪、牛、羊等的)肉
medal,n.,奖牌
media,n.,"媒体,新闻媒介,传播媒介"
medical,a.,"医学的,医疗的"
medicine,n.,药
meeting,n.,会;集会;会见;汇合点
melon,n.,(甜)瓜;瓜状物
member,n.,"成员,会员"
memorial,n.,纪念馆
memory,n.,"回忆,记忆"
mend,v.,"修理,修补"
mental,a.,精神的;脑力的
menu,n.,菜单
merciful,a.,仁慈的; 宽大的
mercy,n.,怜悯
merely,ad.,"仅仅,只不过"
merry,a.,"高兴的,愉快的"
mess,n.,凌乱
message,n.,"消息,音信"
messy,a.,乱七八糟的
metal,n.,金属
metal,a.,金属制成的
method,n.,"方法,办法"
microwave,n.,微波
midday,n.,"中午, 正午"
middle,n.,中间;当中;中级的
midnight,n.,午夜
mild,a.,"温和的,暖和的,凉爽的"
mile,n.,英里
milk,n.,牛奶
milk,vt.,挤奶
million,num.,百万
million,n.,百万个(人或物)
millionaire,n.,百万富翁
mind 1,n.,"思想,想法"
mind 2,v.,"介意,关心"
mine 1,n.,"矿藏,矿山"
mine 1,vt.,开采(矿物)
mine 2,pron.,我的(名词性物主代词)
mineral,n.,"矿物质,矿物"
minibus,n.,小型公共汽车
minister,n.,部长;牧师
ministry,n.,"(政府的)部,内阁"
minority,n.,少数;少数民族
minute,n.,"分钟;一会儿,瞬间"
mirror,n.,镜子
miss,vt.,"失去,错过,缺"
miss,n.,"小姐,女士(称呼未婚妇女)"
mist,n.,雾
mistaken,a.,错误的
mix,v.,"混合,搅拌"
mixture,n.,混合物
model,n.,"模型,原形;范例;模范"
modem,n.,调制解调器
modern,a.,现代的
modest,a.,谦虚的;谦逊的
moment,n.,"片刻,瞬间"
monday,n.,星期一
money,n.,钱;货币
monkey,n.,猴子
month,n.,"月,月份"
monument,n.,"纪念碑,纪念物"
moon,n.,月球;月光;月状物
mop,n.,拖把
mop,v.,拖地
moral,n.,"道德的 寓意,道德启示"
morning,n.,"早晨,上午"
morning,n.,莫斯科
moslem,n.,"伊斯兰教徒,回教徒"
mother,n.,母亲
motherland,n.,祖国
motivation,n.,动机
motor,n.,"发动机,马达"
motto,n.,"箴言,格言"
mountain,n.,"山,山脉"
mountainous,a.,多山的
mourn,vt.,哀痛; 哀悼
mouse,n.,"鼠,耗子;(计算机)鼠标"
moustache,n.,小胡子
mouth,n.,"嘴,口"
move,v.,"移动,搬动,搬家"
movement,n.,"运动,活动"
movie,n.,(口语)电影
mr.,n.,先生(用于姓名前)
mrs.,n.,"夫人,太太(称呼已婚妇女)"
ms.,n.,女士(用在婚姻状况不明女子姓名前)
mud,n.,"泥, 泥浆"
multiply,vt.,乘; 使相乘
murder,vt.,谋杀
museum,n.,"博物馆,博物院"
mushroom,n.,蘑菇
music,n.,"音乐,乐曲"
musical,a.,"音乐的,爱好音乐的"
musical,n.,音乐片
musician,n.,"音乐家,乐师"
mustard,n.,"芥末,芥子粉"
mutton,n.,羊肉
my,pron.,我的
myself,pron.,我自己
nail,n.,"钉,钉子"
name,n.,"名字,姓名,名称"
name,vt.,"命名,名叫"
narrow,a.,狭窄的
nation,n.,"民族,国家"
national,a.,"国家的,全国性的,民族的"
nationality,n.,国籍
nation-wide,ad.,"全国范围内的,全国性的"
native,a.,"本土的,本国的"
natural,a.,自然的
nature,n.,"自然, 性质,种类"
navy,n.,海军
near,a.,近的
near,ad.,接近(地)
near,prep.,在…附近
nearby,a.,附近的
nearly,ad.,"将近,几乎"
neat,a.,整洁的; 灵巧的
necessary,a.,"必需的,必要的"
neck,n.,"颈,脖子"
necklace,n.,项链
need,n.,"需要,需求"
need,v.,&
need,aux.,"需要,必须"
needle,n.,针
negotiate,v.,"商议,谈判,交涉"
neighborhood,n.,四邻;邻近地区
neither,a.,(两者)都不;也不
nephew,n.,"侄子,外甥"
nervous,a.,紧张不安的
nest,n.,巢; 窝
net,n.,网
network,n.,"网络,网状系统"
never,ad.,"决不,从来没有"
new,a.,新的;新鲜的
news,n.,"新闻,消息"
newspaper,n.,报纸
next,a.,"最近的,紧挨着的,隔壁的;下一次"
next,ad.,"随后,然后,下一步"
next,n.,下一个人(东西)
nice,a.,"令人愉快的;好的,漂亮的"
niece,n.,"侄女,甥女"
night,n.,夜;夜间
nine,num.,九
ninety,num.,九十
ninth,num.,第九
no,ad.,"不,不是"
no,a.,"没有,无,不"
noble,a.,"高贵的,贵族的"
nobody,n.,渺小人物
nobody,pron.,"没有人,谁也不"
nod,vi.,点头
noise,n.,"声音,噪声,喧闹声"
noisy,a.,"喧闹的,嘈杂的"
none,pron.,"无任何东西或人,无一人"
noodle,n.,面条
noon,n.,"中午,正午"
nor,conj.,也不
north,a.,北的;朝北的;从北来的
north,ad.,向(在、
northeast,n.,东北(部)
northern,a.,"北方的,北部的"
northwest,n.,西北
nose,n.,鼻
not,ad.,"不,没"
note,n.,"便条,笔记,注释;钞票,纸币;音符,音调"
note,vt.,"记下,记录;注意,留意"
notebook,n.,笔记簿
nothing,n.,"没有东西,没有什么"
nothing,ad.,一点也不;并不
notice,n.,"布告,通告;注意"
notice,vt.,"注意,注意到"
noun,n.,名词
november,n.,11月
novel,n.,(长篇)小说
novelist,n.,小说家
now,ad.,现在
nowadays,ad.,"当今,现在"
nowhere,ad.,任何地方都不; 无处
nuclear,a.,"原子核的,原子能的,核动力的"
numb,a.,"麻木的,失去知觉的"
number,n.,"数,数字,号码;数量"
nurse,n.,护士;保育员
nursery,n.,托儿所
nut,n.,"坚果,坚果仁(胡桃,栗子等)"
object,n.,"物体,目标"
observe,vt.,"观察,观测,遵守,庆祝"
obtain,vt.,"获得,得到"
obvious,a.,"明显的,显而易见的"
occupation,n.,职业
occupy,vt.,"占用,占领,占据"
occur,vi.,出现;存在
ocean,n.,海洋
oceania,n.,大洋洲
october,n.,10月
of,prep.,…的
offence,n.,"过错(攻击,令人讨厌的事物)"
office,n.,"办公室;职务,职责"
officer,n.,军官
official,n.,官员
official,a.,"官方的,正式的"
often,ad.,"经常,常常"
oh,int.,"噢,唉"
oil,n.,油
oil-field,n.,油田
old,a.,"旧的,年老的"
olympics,n.,奥林匹克运动会
olympic games,phr.,奥林匹克运动会
one,num.,一
one,pron.,"一个,一只"
oneself,pron.,"(某人)自己,自身"
onion,n.,洋葱
only,ad.,"仅仅,只;才"
only,a.,"唯一的,仅有的"
onto,prep.,到…上面
open,vt.,开
open,a.,"开着的,开放的"
opening,n.,"开始,口,揭幕"
opera,n.,歌剧
operation,n.,手术;操作
operator,n.,"操作员,话务员,报务员"
opinion,n.,"看法,见解,观点"
oppose,vt.,对抗;反对
opposite,a.,"对面的,相对的,相反的"
optimistic,a.,"乐观的,乐观主义的"
optional,a.,"可以任选的,非强制的"
or,conj.,否则;或者
oral,a.,口头的
orange,n.,"橘子,橙子"
orbit,n.,"轨道,常轨,眼眶"
ordinary,a.,普通的
organ,n.,"风琴,机构,器官"
organization,n.,"组织,机构"
origin,n.,"起源,出身,开端"
other,a.,"别的,其他的"
other,pron.,(两者中)另一个
otherwise,ad.,"否则,要不然"
our,pron.,我们的
ourselves,pron.,我们自己
out,ad.,"出,在外"
outcome,n.,结果
outdoor,a.,"户外的,室外的"
outdoors,ad.,"在户外,在野外"
outer,a.,"外部的,外面的"
outgoing,n.,"外出,开支,流出"
outing,n.,"郊游,远足"
output,n.,"产量,输出,输出功率"
outside,n.,"外部,外面"
outside,prep.,"在…外,向…外"
outside,ad.,"向外面,在外面"
outspoken,a.,"直言无讳的,坦率的"
outstanding,a.,"突出的,杰出的,显著的"
outward,a.,"向外的,表面的,外服的"
oval,n.,椭圆形
over,ad.,"在那边;结束,完了"
over,ad.,&
over,prep.,"(表示数字、程度)超过,在…之上;从事…的时候"
overcome,vt.,"战胜,克服,征服"
overhead,a.,"在头上的,高架的"
overlook,v.,"俯看,远眺,没注意到"
overweight,a.,超重的
owe,vt.,欠(债等)
own,a.,自己的
own,vt.,"所有,拥有"
owner,n.,"物主,所有者"
ownership,n.,所有权
ox,n.,公牛
oxygen,n.,氧气
pace,n.,步子;节奏
pacific,a.,太平洋的
pack,n.,"包,捆;(猎犬、野兽等的)一群"
package,n.,"(尤指包装好或密封的容器)一包,一"
packet,n.,"小包裹,袋"
paddle,n.,"桨状物,蹼"
page,n.,"页,页码"
pain,n.,"疼痛,疼"
painful,a.,"使痛的,使痛苦的"
paint,n.,油漆
paint,vt.,"油漆,粉刷,绘画"
painter,n.,"绘画者,(油)画家"
painting,n.,"油画,水彩画"
pair,n.,"一双,一对"
palace,n.,"宫,宫殿"
pale,a.,"苍白的,灰白的"
pan,n.,平底锅
pancake,n.,薄煎饼
panda,n.,熊猫
panic,n.,"恐慌,惊惶"
paper,n.,纸;报纸
paperwork,n.,日常文书工作
paragraph,n.,(文章的)段落
parallel,a.,平行的
parallel,n.,平行线
parcel,n.,包裹
pardon,n.,"原谅, 宽恕, 对不起"
parent,n.,"父(母),双亲"
paris,n.,巴黎
park,n.,公园
park,vt.,停放(汽车)
parking,n.,停车 parking-lot 停车场
parrot,n.,鹦鹉
part,n.,部分;成分;角色;部件;零件
part,a.,局部的;部分的
part,v.,分离;分开;分割
participate,v.,"参加,分享,参与"
particular,a.,"特殊的,个别的"
partly,ad.,"部分地,在一定程度上"
partner,n.,"搭档,合作者"
party,n.,"聚会,晚会;党派"
pass,vt.,"传,递;经过;通过"
passage,n.,"(文章等的)一节,一段;通道; 走廊"
passenger,n.,"乘客,旅客"
passer-by,n.,"过客,过路人"
passive,a.,被动的
passport,n.,护照
past,ad.,过
past,n.,"过去,昔日,往事"
past,prep.,"过…,走过某处"
patent,n.,"专利权,执照,专利品"
path,n.,"小道,小径"
patience,n.,容忍; 耐心
patient,n.,病人
pattern,n.,式样
pavement,n.,人行道
pea,n.,豌豆
peace,n.,和平
peaceful,a.,"和平的,安宁的"
peach,n.,桃子
pear,n.,"梨子,梨树"
peasant,n.,农民;佃农
pedestrian,n.,"步行者,行人"
pen,n.,"钢笔,笔"
pence,n.,便士
pencil,n.,铅笔
penny,n.,(英)便士;美分
pension,n.,养老金
people,n.,"人,人们;人民"
pepper,n.,胡椒粉
per,prep.,"每,每一"
percent,n.,百分之…
percentage,n.,百分率
perfect,a.,"完美的,极好的"
perform,v.,"表演,履行;行动"
performance,n.,"演出,表演"
performer,n.,"表演者,执行者"
perfume,n.,"香水,香气"
perhaps,ad.,"可能,或"
period,n.,"时期,时代"
permanent,a.,"永久的,持久的"
permission,n.,"允许,许可,同意"
permit,vt.,"许可,允许;执照"
permit,n.,许可证
person,n.,人
personal,a.,"个人的,私人的"
personnel,n.,"人员,职员"
personnel,a.,"个人的,人事的"
personally,ad.,就自己而言
persuade,vt.,"说服,劝说"
pest,n.,害虫
pet,n.,"宠物,爱畜"
petrol,n.,石油
phenomenon,n.,现象
photographer,n.,摄影师
phrase,n.,短语;习惯用语
physical,a.,身体的;物理的
physician,n.,(有行医执照的)医生
physicist,n.,物理学家
physics,n.,物理(学)
pianist,n.,钢琴家
piano,n.,钢琴
pick,v.,"拾起,采集;挑选"
picture,n.,"图片,画片,照片"
pie,n.,甜馅饼
piece,n.,"一块(片,张,件…)"
pig,n.,猪
pile,n.,堆
pill,n.,"药丸,药片"
pillow,n.,枕头
pilot,n.,飞行员
pin,n.,别针
pin,v.,"别住, 钉住"
pine,n.,松树
pineapple,n.,菠萝
ping-pong,n.,乒乓球
pink,a.,粉红色的
pint,n.,(液量单位)品脱
pioneer,n.,"先锋,开拓者"
pipe,n.,"管子,输送管"
pity,n.,"怜悯,同情"
place,n.,"地方,处所"
place,v.,"放置,安置,安排"
plain,a.,家常的; 普通的
plane,n.,飞机
planet,n.,行星
plant,vt.,"种植,播种"
plant,n.,植物
plastic,a.,塑料的
plate,n.,板;片;牌;盘子;盆子
platform,n.,讲台;(车站的)月台
player,n.,"比赛者,选手"
playground,n.,"操场,运动场"
pleasant,a.,"令人愉快的,舒适的"
please,v.,"请;使人高兴,使人满意"
pleased,a.,高兴的
pleasure,n.,"高兴,愉快"
plenty,n.,"充足,大量"
plot,n.,"图,阴谋,情节"
plough,n.,"犁,耕地"
plug,n.,塞子
pocket,n.,(衣服的)口袋
poem,n.,诗
poet,n.,诗人
point,v.,"指,指向"
point,n.,点; 分数
poison,n.,毒药
pole,n.,"杆,电线杆;"
police,n.,"警察,警务人员"
policewoman,n.,女警察
policy,n.,"政策,方针,保险单"
polish,v.,"擦亮,磨光,推敲"
polite,a.,"有礼貌的,有教养的"
political,a.,政治的
politician,n.,政治家
politics,n.,政治
pollute,vt.,污染
pollution,n.,污染
pond,n.,池塘
pool,n.,"水塘,水池"
poor,a.,"贫穷的;可怜的;不好的,差的"
popcorn,n.,爆米花
popular,a.,"大众的,流行的,有销路的"
population,n.,"人口,人数"
pork,n.,猪肉
porridge,n.,"稀饭,粥"
port,n.,"港口,码头"
portable,a.,"轻便的,手提式的"
porter,n.,(火车站或旅馆处的)搬运工
position,n.,位置
positive,a.,"肯定的,积极的,绝对的;正面的,正数的,阳性的"
possess,vt.,占有; 拥有
possession,n.,"所有,拥有;财产,所有物"
possibility,n.,"可能,可能性"
possible,a.,可能的
possibly,ad.,"可能地,也许"
post,n.,"邮政,邮寄,邮件"
post,v.,投寄; 邮寄
postcard,n.,明信片
postman,n.,邮递员
postpone,vt.,"推迟,延期"
pot,n.,"锅,壶,瓶,罐"
potato,n.,"土豆,马铃薯"
potential,n.,"潜力,潜能"
pound,n.,磅;英镑
pour,vi.,"倾泻,不断流出"
powder,n.,"粉,粉末"
power,n.,"力,动力,电力"
powerful,a.,"效力大的,强有力的,强大的"
practical,a.,"实际的,适用的"
practice,n.,练习
pray,v.,祈祷; 祈求
prayer,n.,祈祷
precious,a.,"宝贵的, 珍贵的"
precise,a.,"精确的,准确的"
predict,v.,"预知,预言,预报"
prefer,vt.,"宁愿(选择),更喜欢"
preference,n.,"选择,趋向"
prennant,vt.,怀孕
prejudice,n.,"偏见,成见,伤害"
premier,n.,"总理,首相"
premier,a.,"首位的,最初的"
preparation,n.,准备
prepare,vt.,"准备, 预备; 调制,配制"
prescription,n.,"处方,药方"
present 1,a.,"出现的,出席的"
present 2,n.,"礼物,赠品"
present 2,vt.,"呈奉,奉送"
presentation,n.,"演示,演出"
preserve,v.,"保护,保持,维持,防腐,做蜜饯"
president,n.,总统;主席
press,vt.,"压,按"
press,n.,"新闻界,出版社"
pressure,n.,"压迫,压力,压强"
pretend,vi.,"假装,装作"
pretty,a.,"漂亮的,俊俏的"
prevent,vt.,"防止, 预防"
preview,vt.,预习;试演;预展
price,n.,"价格,价钱"
pride,n.,"自豪,骄傲"
primary,a.,初等的;初级的
primitive,a.,原始的
print,vt.,印刷
prison,n.,监狱
prisoner,n.,囚犯
private,a.,私人的
privilege,n.,"特权,特别恩典,基本人权"
prize,n.,"奖赏,奖品"
probably,ad.,"很可能,大概"
problem,n.,"问题,难题"
produce,vt.,生产;制造
production,n.,生产;制造
profession,n.,(需要有高等教育学位的)职业
professor,n.,教授
progress,n.,"进步,上进"
progress,vi.,进展; 进行
prohibit,v.,"禁止,阻止"
project,n.,"工程,项目,计划"
promote,v.,"促进,提升,升迁,促销"
pronounce,vt.,发音
pronunciation,n.,发音
proper,a.,"恰当的,合适的"
properly,ad.,适当地
protect,vt.,保护
protection,n.,保护
proud,a.,自豪的; 骄傲的
prove,vt.,证明
provide,vt.,提供
province,n.,省
psychology,n.,心理学
pub,n.,"酒店,酒吧"
public,a.,"公共的,公众的"
public,n.,公众
publish,vt.,"出版,发行"
pull,v.,"拉,拖"
pull,n.,"拉力,引力"
pulse,n.,"脉搏,(光、能量、波等的)脉动,搏动"
pump,vt.,用泵抽水
punctual,a.,准时的
punctuation,n.,标点符号
punish,v.,"惩罚,处罚"
punishment,n.,惩罚
pupil,n.,(小)学生
purchase,n.,"购买,购买的物品"
purchase,v.,购买
pure,a.,"纯的, 不掺杂的"
purple,a.,紫色的
purple,n.,紫色
purpose,n.,"目的,意图"
purse,n.,钱包
put,vt.,"放,摆"
puzzle,n.,"难题,(字、画)谜"
pyramid,n.,"角锥形,金字塔"
qualification,n.,"资格,条件,限制"
quality,n.,"质量,性质"
quantity,n.,"量,数量"
quarrel,vi.,"争吵,吵架"
quarter,n.,"四分之一,一刻钟"
queen,n.,"皇后,女王"
question,vt.,询问
question,n.,问题
questionnaire,n.,调查表
queue,n.,"行列,长队"
quick,a.,快;敏捷的;急剧的
quick,ad.,快地;敏捷地;急剧地
quiet,a.,安静的;寂静的
quilt,n.,被子;被状物
quit,v.,"离开,辞职,停止"
quite,ad.,"完全,十分"
quiz,n.,"测验,小型考试"
rabbit,n.,"兔,家兔"
race 1,n.,"种族,民族"
race 2,v.,"(速度)竞赛,比赛"
race 2,n.,"赛跑,竞赛"
racial,a.,种族的
radiation,n.,"放射,放射物"
radio,n.,"无线电,收音机"
radioactive,a.,放射性的
radium,n.,镭
rag,n.,"破布,抹布"
rail,n.,铁路
railway,n.,铁路;铁道
rain,n.,"雨,雨水"
rain,vi.,下雨
rainbow,n.,"虹,彩虹"
raincoat,n.,雨衣
rainfall,n.,一场雨; 降雨量
rainy,a.,下雨的;多雨的
raise,vt.,使升高; 饲养
random,a.,"任意的,随便的,胡乱的"
rank,n.,"职衔,军衔"
rapid,a.,"快的,迅速的"
rare,a.,"罕见的,稀有的"
rat,n.,老鼠
rather,ad.,"相当,宁可"
raw,a.,"生的,未煮过的,未加工的"
ray,n.,"光辉,光线"
razor,n.,剃须刀
reach,v.,"到达,伸手(脚等)够到"
reading,n.,阅读;朗读
ready,a.,准备好的
real,a.,"真实的,确实的"
reality,n.,现实
really,ad.,真正地;到底;确实
reason,vi.,评理; 劝说
reason,n.,"理由,原因"
reasonable,a.,合乎情理的
rebuild,vt.,重建
receipt,n.,收据
receive,v.,"收到,得到"
receiver,n.,电话听筒
recent,a.,"近来的,最近的"
reception,n.,接待
receptionist,n.,接待员
recipe,n.,"食谱,处方,秘诀"
recite,v.,背诵
recommend,v.,"推荐,建议"
record 1,n.,记录; 唱片
record 2,v.,"录制,记录"
recorder,n.,录音机
recover,vi.,痊愈; 恢复
recreation,n.,"消遣,娱乐"
recycle,vt.,回收; 再循环
red,n.,红色
red,a.,红色的
reduce,vt.,"减少,缩减"
refer,vi.,"谈到,提到,涉及,有关"
referee,n.,"仲裁人,调解人,裁判员"
reference,n.,"参考,出处,参照"
reflect,v.,"反映,归咎"
reform,n.,"改革,改正,感化"
refresh,v.,"使...生气蓬勃,提起精神,恢复精神"
refrigerator,n.,冰箱
refuse,vi.,"拒绝,不愿"
regard,v.,把…看作
regardless,a.,"不管,不注意,不顾"
register,n.,"登记簿,花名册,注册员"
register,v.,"登记,注册"
regular,a.,"规则的,经常"
regulation,n.,"规则,规章"
reject,v.,拒绝
relate,vi.,有关; 涉及
relation,n.,关系; 亲属
relationship,n.,关系
relative,n.,"亲属,亲戚"
relax,v.,"(使)放松,轻松"
relevant,a.,"相关的,切题的,中肯的"
reliable,a.,可靠的
relief,n.,"减轻,解除"
religion,n.,宗教
religious,a.,宗教的
remain,vt.,"余下,留下"
remain,vi.,"保持,仍是"
remark,n.,陈述; 话; 议论
remember,v.,"记得,想起"
remind,vt.,"提醒,使记起"
remote,a.,"偏僻的,遥远的,远程的"
remove,vt.,"移动,拿走,脱掉(衣服等)"
repeat,vt.,"重说,重做"
replace,vt.,取代
reply,n.,"回答,答复"
reporter,n.,"记者,新闻通讯员"
represent,vt.,代表
representative,n.,"代表,众议员,典型"
representative,a.,"代表性的,代议制的,典型的"
republic,n.,共和国
reputation,n.,"名誉,名声"
request,n.,"请求,要求的事物"
require,vt.,需求; 要求
requirement,n.,需要; 要求; 必要的条件
rescue,vt.,"营救,援救"
research,n.,"研究,调查"
resemble,v.,"相似,类似,像"
reservation,n.,预定
resign,vi.,"辞职,放弃"
resist,v.,抵抗;挡开
respond,v.,"回答,回报,反应"
responsibility,n.,责任
restaurant,n.,"饭馆, 饭店"
restriction,n.,"限制,约束"
result,n.,"结果,效果"
retell,vt.,"重讲,重复,复述"
retire,v.,退休
return,v.,归还恢复
revision,n.,"复习,温习"
revolution,n.,"革命,变革"
reward,n.,奖赏
rewind,v.,回转(磁带等)
rhyme,n.,"韵,押韵,韵文"
rice,n.,稻米;米饭
rich,a.,"富裕的,有钱的"
rid,vt.,使摆脱
riddle,n.,谜(语)
ridiculous,a.,"荒谬的,可笑的"
right,n.,权利
right,a.,"对,正确的"
right,ad.,"正确地,恰恰,完全地"
right,a.,"右,右边的"
ring 2,n.,环形物(如环、圈、戒指等)
ring-road,n.,环形公路
ripe,a.,"成熟的, 熟的"
ripen,v.,成熟
rise,vi.,"上升,上涨"
risk,n.,"风险,危险"
risk,v.,冒...的危险
river,n.,江;河;水道;巨流
road,n.,"路,道路"
roast,v.,"烤,烘焙"
roast,n.,烤肉
rob,v.,"抢夺,抢劫"
robot,n.,机器人
rock 1,n.,"岩石,大石头"
rock 2,vt.,"摇,摇晃"
rocket,n.,火箭
role,n.,角色
roll,v.,"滚动, 打滚"
roll,n.,面包圈; 卷状物
roof,n.,"屋顶,顶部"
room.,n.,"房间,室;空间;地方"
rooster,n.,(美)公鸡
root,n.,"根,根源,起源"
rope,n.,"绳,索"
rose,n.,玫瑰花
rot,vi.,烂; 腐败
rough,a.,"粗糙的,粗略的"
routine,n.,"例行公事,常规"
royal,a.,"王室的,皇家的"
rubber,n.,橡胶; 合成橡胶
rubbish,n.,垃圾; 废物
rude,a.,"无理的, 粗鲁的"
rugby,n.,(英)橄榄球
rule,n.,"规则,规定"
rule,vt.,统治;支配
ruler,n.,统治者;直尺
run,vi.,"跑,奔跑;(颜色)褪色"
rush,vi.,"冲,奔跑"
sacred,a.,神圣的
sacrifice,vt.,牺牲
sad,a.,(使人)悲伤的
sadness,n.,"悲哀,忧伤"
safe,a.,安全的
safe,n.,保险柜
safety,n.,"安全,保险"
sail,n.,航行
sail,v.,"航行,开航"
sailor,n.,"水手,海员"
salad,n.,色拉(西餐中的一种凉拌菜)
salary,n.,"薪金,薪水"
sale,n.,"卖,出售"
salesman,n.,男售货员
salt,n.,盐
salty,a.,"盐的,咸的,含盐的"
same,n.,同样的事
same,a.,"同样的, 同一的"
sand,n.,"沙, 沙子"
sandwich,n.,三明治(夹心面包片)
satellite,n.,卫星
satisfaction,n.,满意
satisfy,vt.,"满足,使满意"
saturday,n.,星期六
saucer,n.,"茶碟,茶托,小圆盘"
sausage,n.,"香肠,腊肠"
save,vt.,"救,挽救,节省"
say,vt.,"说,讲"
saying,n.,"说,俗话,谚语"
scan,v.,"扫描,详细调查,分析韵律"
scar,n.,"疤痕,伤痕,断崖"
scare,vt.,"惊吓(惊恐,惊慌)"
scarf,n.,"领巾,围巾"
scenery,n.,风景
skeptical,a.,怀疑的
school,n.,学校
scholar,n.,学者
scholarship,n.,奖学金
schoolbag,n.,书包
schoolboy,n.,(中小学)男学生
schoolgirl,n.,(中小学)女学生
schoolmate,n.,同校同学
science,n.,"科学,自然科学"
scientific,a.,科学的
scientist,n.,科学家
scissors,n.,"剪刀,剪子"
scold,vt.,责骂
scratch,n.,"抓痕,乱写"
scratch,v.,"搔痒,抓,抹掉"
scream,n.,尖叫
screen,n.,"幕,荧光屏"
sculpture,n.,"雕塑(术),雕刻(术),雕刻作品,雕像"
sea,n.,"海,海洋"
seagull,n.,海鸥
seal,n.,海豹
seashell,n.,海贝
seaside,n.,海滨
season,n.,季;季节
seat,n.,"座位,座"
seaweed,n.,"海草,海藻,海带"
second 1,n.,秒
second 2,num.,第二
second 2,a.,"第二的,其次的"
secret,n.,"秘密,内情"
secretary,n.,秘书;书记
section,n.,"段,部分,部门"
secure,a.,"无虑的,安心的,安全的"
security,n.,"安全;保证金,抵押品,债券,证券"
seed,n.,种子
seek,vt.,试图; 探寻
seem,v.,"似乎,好像"
seize,vt.,抓住(时机等)
seldom,ad.,"很少,不常"
select,vt.,"选择,挑选,选拔"
self,n.,"自己,自我,自身"
selfish,a.,"自私的,利己的"
sell,v.,"卖,售"
semicircle,n.,半圆
seminar,n.,"(大学的)研究班,研讨会"
send,v.,"打发,派遣;送,邮寄"
senior,a.,"年长的,资深的,高年级的"
senior,n.,"上级,长辈,高年级生"
sense,n.,"感觉,意识"
sensitive,a.,"敏感的,易受伤害的,感光的"
sentence,n.,句子
separate,v.,"使分开, 分离"
separate,a.,"单独的,分开的"
separation,n.,"分离,隔离"
september,n.,9月
serious,a.,"严肃的,严重的;认真的"
servant,n.,"仆人,佣人"
serve,vt.,"招待(顾客等),服务"
service,n.,服务
session,n.,"会议,开庭期,市盘"
set,n.,"装备,设备"
set,vt.,"设置(布景,背景)"
settle,vi.,"安家,定居"
settlement,n.,"新拓居地;(美)部落,村落"
settler,n.,"移居者,开拓者"
seven,num.,七
several,pron.,"几个,数个"
several,a.,若干
sex,n.,"性,性别"
shabby,a.,"破旧的,破烂的,衣衫褴褛的"
shade,n.,"阴凉处,树荫处"
shadow,n.,"影子, 阴影"
shallow,a.,"浅的,不深的,肤浅的"
shame,n.,遗憾的事;羞愧
shape,n.,"形状,外形"
shape,v.,"使成型,制造,塑造"
share,vt.,"分享,共同使用"
shark,n.,鲨鱼
sharp,a.,"锋利的,尖的"
sharpen,v.,"(使)变锐利, 削尖"
shaver,n.,电动剃须刀
she,pron.,她(主格)
sheep,n.,(绵)羊;羊皮;驯服者
sheet,n.,"成幅的薄片,薄板"
shelf,n.,架子;搁板;格层;陆架
shelter,n.,掩蔽;隐蔽处
shine,n.,光泽;光彩;阳光;晴天;光(亮)
ship,n.,"船,轮船"
ship,vi.,用船装运
shirt,n.,男衬衫
shock,vt.,使震惊
shoe,n.,鞋
